college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING  (SS),2794.0,5407.0,3745.0,8728.0,13686.0,42751.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CE,CIVIL  ENGINEERING,4381.0,7534.0,4847.0,10276.0,15211.0,27632.0,21614.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),170.0,313.0,536.0,489.0,2255.0,21395.0,4881.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,32.0,80.0,134.0,138.0,668.0,12008.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,93.0,214.0,988.0,765.0,2859.0,11536.0,18015.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,872.0,1271.0,2732.0,2275.0,8582.0,23009.0,30910.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),432.0,583.0,1310.0,1377.0,5569.0,7212.0,24413.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,5965.0,8966.0,8771.0,9983.0,19048.0,50451.0,57993.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,8513.0,13048.0,12042.0,19299.0,33284.0,73337.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),505.0,678.0,1017.0,1011.0,5387.0,24024.0,15638.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),9851.0,16212.0,13680.0,23328.0,30547.0,27969.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,ME,MECHANICAL ENGINEERING,2279.0,3885.0,6054.0,5386.0,15385.0,35544.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,10258.0,16834.0,26855.0,25388.0,31995.0,44098.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,11859.0,19987.0,16413.0,18831.0,40702.0,99127.0,101973.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PT,PRINTING AND PACKING TECHNOLOGY,16436.0,31958.0,27787.0,30484.0,45771.0,110885.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,XC,CIVIL ENGINEERING (TAMIL MEDIUM),17936.0,26694.0,47395.0,39836.0,38859.0,54069.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),18326.0,24333.0,24693.0,35639.0,38724.0,,102865.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,AP,APPAREL TECHNOLOGY (SS),38543.0,56911.0,49829.0,65843.0,87357.0,139577.0,116255.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CH,CHEMICAL  ENGINEERING,4625.0,7698.0,10471.0,13117.0,22567.0,30709.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CL,CHEMICAL  ENGINEERING (SS),8098.0,12175.0,11946.0,15423.0,42115.0,67708.0,89266.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CR,CERAMIC TECHNOLOGY (SS),32253.0,54850.0,64886.0,58589.0,76665.0,91536.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,FS,FOOD TECHNOLOGY (SS),8559.0,21464.0,20563.0,25385.0,36419.0,23408.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IB,INDUSTRIAL BIO TECHNOLOGY,7130.0,10427.0,11786.0,16928.0,12653.0,64772.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IS,INDUSTRIAL BIO TECHNOLOGY (SS),11626.0,13127.0,15765.0,22091.0,18864.0,,81657.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,LE,LEATHER TECHNOLOGY,35641.0,56330.0,47683.0,62298.0,82996.0,87116.0,74955.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PM,PHARMACEUTICAL TECHNOLOGY (SS),17142.0,30977.0,38256.0,34359.0,37066.0,123721.0,,0,0,0,0,0,0,0
