college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING  (SS),4207.0,7611.0,13213.0,7683.0,14631.0,38252.0,23125.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CE,CIVIL  ENGINEERING,3819.0,7589.0,4591.0,5798.0,8261.0,29948.0,29534.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),203.0,404.0,387.0,500.0,2792.0,11507.0,3121.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,28.0,140.0,218.0,88.0,840.0,725.0,2449.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,206.0,375.0,846.0,590.0,1983.0,9197.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,1281.0,2239.0,3404.0,1822.0,7428.0,16767.0,2341.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EL,Electronics Engineering (VLSI Design and Technology) (SS),1649.0,2303.0,2859.0,2477.0,8750.0,21598.0,14705.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),584.0,839.0,,749.0,4447.0,16123.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,6600.0,14595.0,10807.0,16035.0,34514.0,32007.0,21718.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,9341.0,15407.0,31399.0,19873.0,29606.0,53469.0,47858.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),585.0,1115.0,1191.0,937.0,4910.0,22983.0,10278.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),9298.0,14207.0,12076.0,19201.0,34512.0,52831.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,ME,MECHANICAL ENGINEERING,2971.0,4843.0,5714.0,5253.0,15618.0,29938.0,3894.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,7194.0,17826.0,23448.0,12218.0,31530.0,55040.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,14241.0,19307.0,26041.0,25653.0,32437.0,44767.0,33454.0,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PT,PRINTING & PACKING TECHNOLOGY,20039.0,31446.0,30398.0,36235.0,56745.0,102258.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,XC,CIVIL ENGINEERING (TAMIL MEDIUM),9201.0,26101.0,23847.0,21997.0,22692.0,30731.0,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),16098.0,25118.0,25956.0,28609.0,48115.0,51477.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,AP,APPAREL TECHNOLOGY (SS),45196.0,60334.0,47183.0,71253.0,84343.0,134812.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CH,CHEMICAL  ENGINEERING,4799.0,11292.0,7543.0,9003.0,16234.0,42900.0,65524.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CL,CHEMICAL  ENGINEERING (SS),9849.0,13719.0,22827.0,17464.0,29114.0,82600.0,67701.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CR,CERAMIC TECHNOLOGY (SS),38839.0,55481.0,43595.0,55642.0,82867.0,192740.0,103998.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,FS,FOOD TECHNOLOGY (SS),11690.0,20798.0,15373.0,26528.0,33468.0,69440.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IB,INDUSTRIAL BIO TECHNOLOGY,6469.0,15978.0,30867.0,26673.0,29826.0,,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IS,INDUSTRIAL BIO TECHNOLOGY (SS),16865.0,18672.0,32649.0,28668.0,39118.0,77222.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,LE,LEATHER TECHNOLOGY,40282.0,61973.0,47481.0,55648.0,74494.0,142587.0,81052.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PM,PHARMACEUTICAL TECHNOLOGY (SS),24778.0,34980.0,27750.0,38902.0,53352.0,90865.0,68126.0,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),17724.0,26981.0,22079.0,26218.0,38215.0,71733.0,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,TX,TEXTILE TECHNOLOGY,35166.0,57712.0,38780.0,65137.0,66198.0,109127.0,,0,0,0,0,0,0,0
3,School of Architecture and Planning  Anna University Chennai 600025,CHENNAI,CEG DEPTS,BP,B.Plan,19440.0,34966.0,36104.0,37296.0,41198.0,114419.0,100297.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,AE,AERONAUTICAL ENGINEERING,2639.0,5838.0,6839.0,5643.0,13940.0,38277.0,15914.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),854.0,1747.0,1082.0,1701.0,5737.0,28360.0,10363.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,AU,AUTOMOBILE ENGINEERING,7443.0,11794.0,14993.0,12071.0,25767.0,44373.0,49956.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),809.0,1120.0,1119.0,1084.0,3702.0,20892.0,10587.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,365.0,679.0,819.0,650.0,2478.0,18767.0,5627.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,880.0,1338.0,1038.0,1421.0,5269.0,7316.0,,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2529.0,3401.0,4565.0,4671.0,11962.0,29990.0,,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),1419.0,1738.0,2787.0,1764.0,6635.0,26757.0,7526.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),1254.0,1729.0,2458.0,1816.0,7005.0,26607.0,13838.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,PR,PRODUCTION ENGINEERING,12275.0,18638.0,16766.0,22495.0,31192.0,52982.0,53523.0,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,RA,ROBOTICS AND AUTOMATION (SS),2864.0,4387.0,3495.0,3997.0,13725.0,19604.0,,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,RP,RUBBER AND PLASTIC TECHNOLOGY,28229.0,38887.0,34476.0,44399.0,52101.0,124132.0,,0,0,0,0,0,0,0
